Date,Open,High,Low,Close,Adj Close,Volume
"Dec 27, 2023","2,010.00","2,030.00","1,960.00","2,000.00","1,962.33","52,831,300"
"Dec 20, 2023","1,950.00","2,040.00","1,930.00","2,010.00","1,972.14","102,462,400"
"Dec 13, 2023","1,930.00","1,980.00","1,885.00","1,945.00","1,908.36","79,181,900"
"Dec 6, 2023","2,060.00","2,170.00","1,920.00","1,930.00","1,893.64","133,253,000"
"Nov 29, 2023","2,160.00","2,170.00","2,030.00","2,050.00","2,011.38","81,444,200"
"Nov 22, 2023","2,070.00","2,170.00","2,050.00","2,150.00","2,109.50","79,999,400"
"Nov 15, 2023","2,180.00","2,240.00","2,050.00","2,070.00","2,031.01","53,010,200"
"Nov 8, 2023","2,120.00","2,290.00","2,080.00","2,160.00","2,119.31","52,972,200"
"Nov 1, 2023","2,200.00","2,200.00","2,020.00","2,110.00","2,070.25","87,559,300"
"Oct 25, 2023","2,200.00","2,270.00","2,000.00","2,270.00","2,227.24","74,346,900"
"Oct 18, 2023","2,400.00","2,400.00","2,080.00","2,190.00","2,148.75","87,036,600"
"Oct 11, 2023","2,370.00","2,440.00","2,350.00","2,380.00","2,335.17","48,916,900"
"Oct 4, 2023","2,440.00","2,470.00","2,350.00","2,370.00","2,325.36","31,813,400"
"Sep 27, 2023","2,340.00","2,460.00","2,310.00","2,440.00","2,394.04","40,827,200"
"Sep 20, 2023","2,300.00","2,500.00","2,290.00","2,340.00","2,295.92","77,877,200"
"Sep 13, 2023","2,350.00","2,400.00","2,300.00","2,300.00","2,256.67","77,751,600"
"Sep 6, 2023","2,510.00","2,520.00","2,230.00","2,350.00","2,305.73","158,923,500"
"Aug 30, 2023","2,500.00","2,560.00","2,410.00","2,490.00","2,443.10","114,830,200"
"Aug 23, 2023","2,390.00","2,500.00","2,320.00","2,490.00","2,443.10","119,232,000"
"Aug 16, 2023","2,290.00","2,430.00","2,290.00","2,390.00","2,344.98","156,990,700"
"Aug 9, 2023","2,340.00","2,380.00","2,220.00","2,280.00","2,237.05","108,568,500"
"Aug 2, 2023","2,300.00","2,340.00","2,220.00","2,330.00","2,286.11","88,293,800"
"Jul 26, 2023","2,050.00","2,320.00","2,020.00","2,280.00","2,237.05","269,296,400"
"Jul 19, 2023","2,000.00","2,090.00","1,985.00","2,040.00","2,001.57","46,808,800"
"Jul 12, 2023","2,060.00","2,080.00","2,000.00","2,000.00","1,962.33","47,107,900"
"Jul 5, 2023","1,975.00","2,080.00","1,955.00","2,040.00","2,001.57","99,361,500"
"Jun 28, 2023","1,955.00","1,980.00","1,940.00","1,975.00","1,937.80","18,638,400"
"Jun 21, 2023","1,960.00","2,000.00","1,915.00","1,955.00","1,918.17","68,697,000"
"Jun 14, 2023","2,080.00","2,080.00","1,950.00","1,965.00","1,927.98","86,012,600"
"Jun 7, 2023","1,975.00","2,130.00","1,950.00","2,050.00","2,011.38","144,090,500"
"May 31, 2023","1,980.00","2,010.00","1,945.00","1,970.00","1,932.89","56,384,700"
"May 24, 2023","1,950.00","2,020.00","1,930.00","1,970.00","1,932.89","71,737,400"
"May 17, 2023","1,915.00","2,030.00","1,905.00","1,940.00","1,903.46","96,671,300"
"May 10, 2023","1,925.00","1,990.00","1,850.00","1,915.00","1,838.25","151,714,700"
"May 3, 2023","1,730.00","1,930.00","1,695.00","1,905.00","1,828.65","241,141,900"
"Apr 26, 2023","1,800.00","1,805.00","1,710.00","1,730.00","1,660.66","121,798,500"
"Apr 19, 2023","1,795.00","1,795.00","1,795.00","1,795.00","1,723.06",-
"Apr 12, 2023","1,820.00","1,850.00","1,780.00","1,795.00","1,723.06","146,559,800"
"Apr 5, 2023","1,985.00","2,010.00","1,780.00","1,820.00","1,747.06","123,055,100"
"Mar 29, 2023","2,050.00","2,080.00","1,975.00","1,985.00","1,905.44","63,200,200"
"Mar 22, 2023","2,050.00","2,070.00","1,990.00","2,050.00","1,967.84","37,549,500"
"Mar 15, 2023","2,000.00","2,050.00","1,860.00","2,050.00","1,967.84","159,651,500"
"Mar 8, 2023","2,080.00","2,100.00","2,010.00","2,020.00","1,939.04","66,373,500"
"Mar 1, 2023","2,100.00","2,130.00","2,050.00","2,080.00","1,996.64","100,264,500"
"Feb 22, 2023","2,350.00","2,350.00","2,080.00","2,090.00","2,006.24","126,601,300"
"Feb 15, 2023","2,270.00","2,390.00","2,240.00","2,350.00","2,255.81","112,239,100"
"Feb 8, 2023","2,320.00","2,320.00","2,210.00","2,270.00","2,179.02","59,451,400"
"Feb 1, 2023","2,300.00","2,340.00","2,220.00","2,310.00","2,217.42","74,383,400"
"Jan 25, 2023","2,360.00","2,370.00","2,230.00","2,300.00","2,207.82","68,759,200"
"Jan 18, 2023","2,310.00","2,440.00","2,310.00","2,360.00","2,265.41","72,640,100"
"Jan 11, 2023","2,290.00","2,350.00","2,250.00","2,300.00","2,207.82","55,320,500"
"Jan 4, 2023","2,340.00","2,360.00","2,200.00","2,300.00","2,207.82","71,454,900"
"Dec 28, 2022","2,130.00","2,380.00","2,110.00","2,350.00","2,255.81","93,867,600"
"Dec 21, 2022","2,100.00","2,200.00","2,050.00","2,130.00","2,044.63","112,618,900"
"Dec 14, 2022","2,040.00","2,120.00","2,010.00","2,100.00","2,015.83","80,391,800"
"Dec 7, 2022","2,270.00","2,290.00","2,010.00","2,020.00","1,939.04","134,043,000"
"Nov 30, 2022","2,200.00","2,340.00","2,170.00","2,290.00","2,198.22","101,985,000"
"Nov 23, 2022","2,290.00","2,300.00","2,160.00","2,200.00","2,111.83","56,382,500"
"Nov 16, 2022","2,390.00","2,390.00","2,250.00","2,280.00","2,188.62","64,993,300"
"Nov 9, 2022","2,440.00","2,460.00","2,350.00","2,390.00","2,294.21","52,780,200"
"Nov 2, 2022","2,490.00","2,490.00","2,390.00","2,440.00","2,342.21","64,443,200"
"Oct 26, 2022","2,400.00","2,530.00","2,390.00","2,470.00","2,371.01","50,879,500"
"Oct 19, 2022","2,500.00","2,580.00","2,390.00","2,400.00","2,303.81","60,638,200"
"Oct 12, 2022","2,500.00","2,500.00","2,310.00","2,480.00","2,380.60","42,665,500"
"Oct 5, 2022","2,550.00","2,560.00","2,460.00","2,510.00","2,409.40","29,599,000"
"Sep 28, 2022","2,540.00","2,550.00","2,410.00","2,500.00","2,399.80","42,732,300"
"Sep 21, 2022","2,550.00","2,560.00","2,400.00","2,530.00","2,428.60","80,919,500"
"Sep 14, 2022","2,620.00","2,660.00","2,470.00","2,550.00","2,447.80","110,794,600"
"Sep 7, 2022","2,610.00","2,720.00","2,600.00","2,650.00","2,543.79","103,056,000"
"Aug 31, 2022","2,730.00","2,730.00","2,610.00","2,620.00","2,514.99","91,621,600"
"Aug 24, 2022","2,700.00","2,750.00","2,570.00","2,730.00","2,620.58","80,939,800"
"Aug 17, 2022","2,640.00","2,680.00","2,510.00","2,660.00","2,553.39","76,374,100"
"Aug 10, 2022","2,580.00","2,780.00","2,520.00","2,640.00","2,534.19","137,880,300"
"Aug 3, 2022","2,400.00","2,680.00","2,380.00","2,610.00","2,505.39","191,854,400"
"Jul 27, 2022","2,380.00","2,440.00","2,330.00","2,400.00","2,303.81","163,571,300"
"Jul 20, 2022","2,520.00","2,600.00","2,370.00","2,380.00","2,284.61","81,226,400"
"Jul 13, 2022","2,300.00","2,500.00","2,260.00","2,500.00","2,399.80","113,116,100"
"Jul 6, 2022","2,360.00","2,360.00","2,210.00","2,300.00","2,207.82","109,381,700"
"Jun 29, 2022","2,610.00","2,650.00","2,350.00","2,380.00","2,284.61","65,914,500"
"Jun 22, 2022","2,500.00","2,720.00","2,430.00","2,630.00","2,524.59","144,069,000"
"Jun 15, 2022","2,440.00","2,520.00","2,230.00","2,500.00","2,399.80","185,412,400"
"Jun 8, 2022","2,600.00","2,680.00","2,390.00","2,440.00","2,342.21","156,541,400"
"Jun 1, 2022","2,640.00","2,740.00","2,550.00","2,590.00","2,486.20","128,627,600"
"May 25, 2022","2,600.00","2,710.00","2,570.00","2,640.00","2,534.19","79,862,700"
"May 18, 2022","2,820.00","2,820.00","2,580.00","2,600.00","2,495.79","91,861,300"
"May 11, 2022","2,980.00","3,000.00","2,740.00","2,790.00","2,632.50","87,635,300"
"May 4, 2022","3,190.00","3,190.00","2,980.00","2,990.00","2,821.21","83,113,600"
"Apr 27, 2022","3,160.00","3,250.00","3,130.00","3,190.00","3,009.92","45,085,400"
"Apr 20, 2022","2,970.00","3,380.00","2,960.00","3,200.00","3,019.35","262,125,400"
"Apr 13, 2022","2,590.00","2,950.00","2,580.00","2,950.00","2,783.47","169,267,700"
"Apr 6, 2022","2,690.00","2,760.00","2,550.00","2,570.00","2,424.92","95,063,100"
"Mar 30, 2022","2,760.00","2,780.00","2,590.00","2,700.00","2,547.58","85,611,800"
