Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024","5,675.00","5,750.00","5,650.00","5,700.00","5,700.00","96,782,100"
"Dec 27, 2024","5,750.00","5,850.00","5,750.00","5,800.00","5,800.00","46,126,800"
"Dec 24, 2024","5,825.00","5,875.00","5,750.00","5,750.00","5,750.00","41,240,900"
"Dec 23, 2024","5,800.00","5,875.00","5,725.00","5,825.00","5,825.00","82,910,100"
"Dec 20, 2024","5,675.00","5,750.00","5,625.00","5,675.00","5,675.00","148,568,600"
"Dec 19, 2024","5,625.00","5,725.00","5,600.00","5,675.00","5,675.00","277,793,000"
"Dec 18, 2024","5,925.00","6,000.00","5,775.00","5,825.00","5,825.00","153,164,600"
"Dec 17, 2024","6,050.00","6,075.00","5,925.00","5,950.00","5,950.00","72,109,300"
"Dec 16, 2024","5,900.00","6,100.00","5,900.00","6,075.00","6,075.00","105,375,900"
"Dec 13, 2024","6,025.00","6,100.00","5,975.00","6,025.00","6,025.00","135,581,400"
"Dec 12, 2024","6,200.00","6,225.00","6,100.00","6,125.00","6,125.00","96,707,500"
"Dec 11, 2024","6,300.00","6,400.00","6,300.00","6,300.00","6,300.00","62,509,600"
"Dec 10, 2024","6,275.00","6,325.00","6,225.00","6,300.00","6,300.00","92,245,000"
"Dec 9, 2024","6,175.00","6,375.00","6,175.00","6,375.00","6,375.00","74,220,300"
"Dec 6, 2024","6,200.00","6,275.00","6,125.00","6,225.00","6,225.00","75,989,700"
"Dec 5, 2024","6,350.00","6,375.00","6,150.00","6,150.00","6,150.00","69,528,700"
"Dec 4, 2024","6,275.00","6,450.00","6,225.00","6,375.00","6,375.00","75,260,000"
"Dec 3, 2024","6,100.00","6,275.00","6,100.00","6,275.00","6,275.00","99,509,800"
"Dec 2, 2024","6,175.00","6,250.00","5,975.00","6,000.00","6,000.00","114,555,300"
"Nov 29, 2024","6,325.00","6,375.00","6,125.00","6,150.00","6,150.00","157,628,700"
"Nov 28, 2024","6,350.00","6,525.00","6,350.00","6,450.00","6,450.00","81,883,200"
"Nov 26, 2024","6,600.00","6,600.00","6,325.00","6,400.00","6,400.00","107,194,300"
"Nov 25, 2024","6,325.00","6,600.00","6,325.00","6,575.00","6,575.00","183,449,100"
"Nov 22, 2024","6,125.00","6,300.00","6,100.00","6,250.00","6,250.00","80,236,400"
"Nov 21, 2024","6,225.00","6,225.00","6,125.00","6,150.00","6,150.00","76,579,300"
"Nov 20, 2024","6,325.00","6,350.00","6,200.00","6,225.00","6,225.00","68,707,200"
"Nov 19, 2024","6,375.00","6,375.00","6,225.00","6,250.00","6,250.00","95,495,700"
"Nov 18, 2024","6,350.00","6,425.00","6,225.00","6,325.00","6,325.00","77,471,700"
"Nov 15, 2024","6,300.00","6,400.00","6,300.00","6,350.00","6,350.00","41,079,700"
"Nov 14, 2024","6,375.00","6,475.00","6,350.00","6,375.00","6,375.00","69,750,600"
"Nov 13, 2024","6,500.00","6,550.00","6,400.00","6,425.00","6,425.00","102,748,300"
"Nov 12, 2024","6,375.00","6,450.00","6,325.00","6,375.00","6,375.00","117,281,700"
"Nov 11, 2024","6,300.00","6,450.00","6,150.00","6,350.00","6,350.00","125,606,000"
"Nov 8, 2024","6,425.00","6,525.00","6,275.00","6,325.00","6,325.00","192,423,000"
"Nov 7, 2024","6,500.00","6,550.00","6,425.00","6,425.00","6,425.00","154,758,500"
"Nov 6, 2024","6,925.00","6,925.00","6,550.00","6,550.00","6,550.00","147,272,800"
"Nov 5, 2024","6,725.00","6,950.00","6,675.00","6,925.00","6,925.00","88,661,200"
"Nov 4, 2024","6,600.00","6,800.00","6,525.00","6,750.00","6,750.00","80,208,800"
"Nov 1, 2024","6,725.00","6,725.00","6,550.00","6,650.00","6,650.00","101,423,100"
"Oct 31, 2024","6,750.00","6,825.00","6,700.00","6,700.00","6,700.00","126,730,700"
"Oct 30, 2024","6,575.00","6,775.00","6,575.00","6,750.00","6,750.00","122,132,700"
"Oct 29, 2024","6,800.00","6,850.00","6,725.00","6,825.00","6,825.00","91,268,300"
"Oct 28, 2024","7,075.00","7,075.00","6,800.00","6,825.00","6,825.00","114,500,800"
"Oct 25, 2024","6,975.00","7,050.00","6,975.00","7,050.00","7,050.00","34,637,500"
"Oct 24, 2024","7,000.00","7,150.00","6,975.00","6,975.00","6,975.00","65,877,100"
"Oct 23, 2024","7,075.00","7,125.00","7,025.00","7,075.00","7,075.00","38,222,900"
"Oct 22, 2024","7,150.00","7,175.00","7,075.00","7,075.00","7,075.00","43,582,700"
"Oct 21, 2024","7,250.00","7,250.00","7,125.00","7,200.00","7,200.00","43,056,000"
"Oct 18, 2024","7,275.00","7,300.00","7,175.00","7,175.00","7,175.00","57,379,200"
"Oct 17, 2024","7,050.00","7,250.00","7,000.00","7,225.00","7,225.00","90,219,900"
"Oct 16, 2024","7,050.00","7,075.00","6,925.00","7,000.00","7,000.00","133,022,500"
"Oct 15, 2024","7,000.00","7,100.00","6,925.00","7,050.00","7,050.00","90,358,600"
"Oct 14, 2024","6,925.00","6,975.00","6,900.00","6,925.00","6,925.00","55,885,300"
"Oct 11, 2024","7,025.00","7,025.00","6,925.00","6,950.00","6,950.00","45,331,500"
"Oct 10, 2024","6,925.00","7,050.00","6,900.00","6,950.00","6,950.00","44,291,900"
"Oct 9, 2024","7,075.00","7,175.00","6,950.00","6,950.00","6,950.00","76,515,700"
"Oct 8, 2024","6,825.00","7,175.00","6,775.00","7,075.00","7,075.00","132,141,500"
"Oct 7, 2024","6,925.00","6,925.00","6,800.00","6,875.00","6,875.00","103,943,100"
"Oct 4, 2024","7,025.00","7,050.00","6,900.00","6,950.00","6,950.00","79,485,300"
"Oct 3, 2024","7,000.00","7,075.00","6,900.00","7,050.00","7,050.00","86,264,900"
"Oct 2, 2024","7,025.00","7,100.00","6,925.00","6,975.00","6,975.00","91,076,400"
"Oct 1, 2024","7,000.00","7,075.00","6,950.00","7,050.00","7,050.00","82,690,100"
"Sep 30, 2024","7,000.00","7,025.00","6,875.00","6,925.00","6,925.00","166,203,500"
"Sep 27, 2024","7,025.00","7,125.00","7,000.00","7,050.00","7,050.00","161,405,200"
"Sep 26, 2024","7,175.00","7,200.00","7,100.00","7,175.00","7,175.00","173,044,000"
"Sep 25, 2024","7,350.00","7,350.00","7,050.00","7,200.00","7,200.00","192,197,100"
"Sep 24, 2024","7,400.00","7,475.00","7,375.00","7,425.00","7,425.00","81,817,100"
"Sep 23, 2024","7,325.00","7,450.00","7,300.00","7,450.00","7,450.00","79,675,600"
"Sep 20, 2024","7,400.00","7,425.00","7,300.00","7,300.00","7,300.00","97,901,700"
"Sep 19, 2024","7,450.00","7,550.00","7,400.00","7,400.00","7,400.00","124,377,800"
"Sep 18, 2024","7,375.00","7,450.00","7,350.00","7,400.00","7,400.00","47,279,200"
"Sep 17, 2024","7,325.00","7,450.00","7,300.00","7,425.00","7,425.00","96,428,000"
"Sep 13, 2024","7,300.00","7,300.00","7,225.00","7,275.00","7,275.00","45,854,000"
"Sep 12, 2024","7,375.00","7,425.00","7,300.00","7,300.00","7,300.00","68,254,300"
"Sep 11, 2024","7,300.00","7,400.00","7,275.00","7,375.00","7,375.00","91,822,300"
"Sep 10, 2024","7,250.00","7,275.00","7,225.00","7,250.00","7,250.00","73,515,700"
"Sep 9, 2024","7,250.00","7,250.00","7,200.00","7,250.00","7,250.00","71,430,300"
"Sep 6, 2024","7,175.00","7,275.00","7,150.00","7,250.00","7,250.00","63,619,300"
"Sep 5, 2024","7,125.00","7,225.00","7,125.00","7,175.00","7,175.00","59,432,000"
"Sep 4, 2024","7,000.00","7,175.00","7,000.00","7,175.00","7,175.00","78,789,800"
"Sep 3, 2024","7,200.00","7,250.00","7,050.00","7,075.00","7,075.00","75,100,800"
"Sep 2, 2024","7,200.00","7,275.00","7,125.00","7,200.00","7,200.00","82,176,000"
"Aug 30, 2024","7,100.00","7,175.00","7,075.00","7,125.00","7,125.00","153,760,500"
"Aug 29, 2024","7,300.00","7,300.00","7,100.00","7,100.00","7,100.00","94,475,900"
"Aug 28, 2024","7,025.00","7,225.00","7,000.00","7,225.00","7,225.00","114,606,200"
"Aug 27, 2024","7,025.00","7,050.00","6,925.00","7,025.00","7,025.00","91,686,700"
"Aug 26, 2024","7,050.00","7,100.00","7,000.00","7,050.00","7,050.00","78,515,400"
"Aug 23, 2024","7,000.00","7,075.00","6,975.00","7,050.00","7,050.00","111,752,100"
"Aug 22, 2024","7,150.00","7,175.00","6,925.00","7,050.00","7,050.00","157,323,000"
"Aug 21, 2024","7,300.00","7,300.00","7,225.00","7,250.00","7,250.00","88,487,800"
"Aug 20, 2024","7,200.00","7,350.00","7,150.00","7,200.00","7,200.00","102,615,900"
"Aug 19, 2024","7,075.00","7,150.00","7,025.00","7,150.00","7,150.00","50,246,100"
"Aug 16, 2024","7,075.00","7,125.00","7,025.00","7,075.00","7,075.00","64,266,400"
"Aug 15, 2024","7,075.00","7,075.00","6,925.00","7,025.00","7,025.00","75,955,500"
"Aug 14, 2024","7,075.00","7,100.00","7,025.00","7,075.00","7,075.00","97,695,100"
"Aug 13, 2024","6,850.00","7,000.00","6,850.00","7,000.00","7,000.00","68,666,000"
"Aug 12, 2024","6,875.00","6,900.00","6,775.00","6,900.00","6,900.00","50,756,000"
"Aug 9, 2024","6,825.00","6,900.00","6,800.00","6,850.00","6,850.00","79,710,700"
"Aug 8, 2024","6,800.00","6,850.00","6,725.00","6,800.00","6,800.00","81,408,500"
"Aug 7, 2024","6,725.00","6,775.00","6,650.00","6,775.00","6,775.00","84,582,200"
"Aug 6, 2024","6,650.00","6,700.00","6,525.00","6,625.00","6,625.00","95,785,000"
"Aug 5, 2024","6,700.00","6,725.00","6,500.00","6,575.00","6,575.00","184,384,000"
"Aug 2, 2024","6,700.00","6,875.00","6,675.00","6,800.00","6,800.00","167,892,400"
"Aug 1, 2024","6,550.00","6,750.00","6,500.00","6,750.00","6,750.00","163,086,200"
"Jul 31, 2024","6,400.00","6,475.00","6,375.00","6,400.00","6,400.00","99,004,100"
"Jul 30, 2024","6,475.00","6,550.00","6,375.00","6,475.00","6,475.00","86,701,400"
"Jul 29, 2024","6,550.00","6,550.00","6,450.00","6,475.00","6,475.00","54,435,300"
"Jul 26, 2024","6,575.00","6,625.00","6,500.00","6,550.00","6,550.00","76,519,500"
"Jul 25, 2024","6,450.00","6,575.00","6,400.00","6,575.00","6,575.00","66,655,400"
"Jul 24, 2024","6,500.00","6,575.00","6,475.00","6,475.00","6,475.00","63,940,900"
"Jul 23, 2024","6,750.00","6,750.00","6,550.00","6,625.00","6,625.00","77,861,700"
"Jul 22, 2024","6,575.00","6,700.00","6,525.00","6,700.00","6,700.00","110,467,000"
"Jul 19, 2024","6,500.00","6,525.00","6,450.00","6,525.00","6,525.00","63,165,500"
"Jul 18, 2024","6,550.00","6,600.00","6,500.00","6,550.00","6,550.00","132,532,000"
"Jul 17, 2024","6,450.00","6,525.00","6,375.00","6,450.00","6,450.00","109,729,800"
"Jul 16, 2024","6,400.00","6,400.00","6,300.00","6,350.00","6,350.00","64,687,900"
"Jul 15, 2024","6,450.00","6,450.00","6,300.00","6,350.00","6,350.00","66,071,800"
"Jul 12, 2024","6,450.00","6,550.00","6,400.00","6,425.00","6,425.00","136,132,200"
"Jul 11, 2024","6,400.00","6,425.00","6,350.00","6,400.00","6,400.00","66,789,800"
"Jul 10, 2024","6,375.00","6,450.00","6,300.00","6,375.00","6,375.00","59,685,300"
"Jul 9, 2024","6,225.00","6,400.00","6,200.00","6,375.00","6,375.00","84,177,600"
"Jul 8, 2024","6,400.00","6,425.00","6,200.00","6,225.00","6,225.00","138,144,000"
"Jul 5, 2024","6,325.00","6,500.00","6,300.00","6,425.00","6,425.00","111,646,800"
"Jul 4, 2024","6,250.00","6,400.00","6,225.00","6,250.00","6,250.00","90,147,800"
"Jul 3, 2024","6,275.00","6,300.00","6,100.00","6,225.00","6,225.00","70,017,100"
"Jul 2, 2024","6,275.00","6,350.00","6,150.00","6,200.00","6,200.00","159,356,600"
"Jul 1, 2024","6,175.00","6,250.00","6,100.00","6,250.00","6,250.00","100,408,200"
"Jun 28, 2024","6,000.00","6,250.00","6,000.00","6,150.00","6,150.00","191,371,600"
"Jun 27, 2024","5,900.00","6,075.00","5,875.00","6,000.00","6,000.00","117,602,400"
"Jun 26, 2024","5,950.00","6,025.00","5,850.00","5,850.00","5,850.00","92,895,700"
"Jun 25, 2024","5,925.00","5,975.00","5,825.00","5,925.00","5,925.00","159,983,800"
"Jun 24, 2024","6,075.00","6,125.00","6,000.00","6,000.00","6,000.00","58,831,900"
"Jun 21, 2024","6,050.00","6,200.00","6,025.00","6,125.00","6,125.00","184,240,600"
"Jun 20, 2024","5,825.00","5,950.00","5,750.00","5,950.00","5,950.00","82,660,000"
"Jun 19, 2024","5,775.00","5,850.00","5,675.00","5,750.00","5,750.00","116,004,200"
"Jun 14, 2024","5,850.00","5,875.00","5,650.00","5,750.00","5,750.00","203,241,500"
"Jun 13, 2024","5,975.00","6,000.00","5,850.00","5,875.00","5,875.00","162,616,700"
"Jun 12, 2024","6,050.00","6,075.00","5,900.00","5,925.00","5,925.00","120,857,200"
"Jun 11, 2024","6,200.00","6,250.00","6,125.00","6,125.00","6,125.00","56,254,400"
"Jun 10, 2024","6,275.00","6,350.00","6,200.00","6,275.00","6,275.00","80,154,400"
"Jun 7, 2024","6,250.00","6,275.00","6,150.00","6,275.00","6,275.00","99,092,800"
"Jun 6, 2024","6,125.00","6,200.00","6,075.00","6,175.00","6,175.00","85,735,200"
"Jun 5, 2024","6,125.00","6,150.00","5,975.00","6,000.00","6,000.00","102,327,300"
"Jun 4, 2024","6,150.00","6,275.00","6,125.00","6,150.00","6,150.00","137,800,600"
"Jun 3, 2024","6,075.00","6,150.00","6,025.00","6,100.00","6,100.00","92,525,600"
"May 31, 2024","6,000.00","6,025.00","5,900.00","5,900.00","5,900.00","169,567,000"
"May 30, 2024","5,775.00","6,000.00","5,525.00","5,875.00","5,875.00","236,632,600"
"May 29, 2024","5,825.00","5,875.00","5,700.00","5,800.00","5,800.00","169,386,300"
"May 28, 2024","5,850.00","6,025.00","5,825.00","5,950.00","5,950.00","93,701,700"
"May 27, 2024","6,025.00","6,050.00","5,825.00","5,825.00","5,825.00","258,450,900"
"May 22, 2024","6,000.00","6,150.00","5,950.00","6,050.00","6,050.00","171,675,900"
"May 21, 2024","6,225.00","6,275.00","5,975.00","6,025.00","6,025.00","307,362,900"
"May 20, 2024","6,550.00","6,625.00","6,200.00","6,325.00","6,325.00","168,796,000"
"May 17, 2024","6,350.00","6,650.00","6,350.00","6,575.00","6,575.00","133,153,900"
"May 16, 2024","6,450.00","6,500.00","6,325.00","6,350.00","6,350.00","114,806,300"
"May 15, 2024","6,200.00","6,400.00","6,200.00","6,375.00","6,375.00","80,923,000"
"May 14, 2024","6,175.00","6,300.00","6,175.00","6,200.00","6,200.00","94,048,400"
"May 13, 2024","6,200.00","6,275.00","6,125.00","6,200.00","6,200.00","128,638,300"
"May 8, 2024","6,325.00","6,450.00","6,250.00","6,275.00","6,275.00","117,065,300"
"May 7, 2024","6,325.00","6,400.00","6,250.00","6,275.00","6,275.00","130,410,300"
"May 6, 2024","6,250.00","6,400.00","6,150.00","6,275.00","6,275.00","184,234,200"
"May 3, 2024","6,300.00","6,425.00","6,050.00","6,150.00","6,150.00","269,305,400"
"May 2, 2024","6,800.00","6,800.00","6,050.00","6,325.00","6,325.00","501,849,300"
"Apr 30, 2024","6,800.00","7,050.00","6,775.00","6,900.00","6,900.00","189,991,300"
"Apr 29, 2024","6,650.00","6,950.00","6,650.00","6,925.00","6,925.00","77,938,400"
"Apr 26, 2024","7,000.00","7,025.00","6,750.00","6,750.00","6,750.00","125,875,000"
"Apr 25, 2024","7,050.00","7,075.00","6,925.00","6,950.00","6,950.00","111,803,500"
"Apr 24, 2024","6,925.00","7,050.00","6,900.00","7,050.00","7,050.00","117,586,500"
"Apr 23, 2024","6,850.00","6,925.00","6,725.00","6,825.00","6,825.00","106,699,200"
"Apr 22, 2024","6,875.00","6,875.00","6,575.00","6,725.00","6,725.00","121,727,900"
"Apr 19, 2024","6,725.00","6,800.00","6,650.00","6,725.00","6,725.00","47,943,300"
"Apr 18, 2024","6,800.00","6,900.00","6,725.00","6,800.00","6,800.00","106,893,900"
"Apr 17, 2024","6,700.00","6,775.00","6,625.00","6,625.00","6,625.00","83,840,200"
"Apr 16, 2024","6,350.00","6,725.00","6,300.00","6,625.00","6,625.00","180,012,400"
"Apr 5, 2024","6,825.00","6,900.00","6,825.00","6,825.00","6,825.00","46,111,500"
"Apr 4, 2024","6,750.00","6,925.00","6,750.00","6,875.00","6,875.00","63,174,900"
"Apr 3, 2024","6,950.00","6,950.00","6,675.00","6,775.00","6,775.00","115,372,600"
"Apr 2, 2024","6,900.00","6,900.00","6,700.00","6,900.00","6,900.00","135,764,900"
"Apr 1, 2024","7,250.00","7,250.00","6,750.00","6,900.00","6,900.00","158,358,600"
"Mar 28, 2024","7,150.00","7,250.00","7,125.00","7,250.00","7,250.00","90,900,900"
"Mar 27, 2024","7,200.00","7,250.00","7,175.00","7,175.00","7,175.00","46,295,700"
"Mar 26, 2024","7,225.00","7,225.00","7,125.00","7,175.00","7,175.00","74,274,300"
"Mar 25, 2024","7,250.00","7,250.00","7,000.00","7,250.00","7,250.00","78,212,700"
"Mar 22, 2024","7,000.00","7,075.00","6,950.00","7,050.00","7,050.00","65,219,900"
"Mar 21, 2024","7,100.00","7,200.00","7,050.00","7,050.00","7,050.00","81,774,800"
"Mar 20, 2024","7,050.00","7,050.00","7,000.00","7,050.00","7,050.00","83,416,700"
"Mar 19, 2024","7,250.00","7,350.00","7,225.00","7,275.00","6,921.04","100,836,600"
"Mar 18, 2024","7,425.00","7,425.00","7,175.00","7,175.00","6,825.91","105,778,200"
"Mar 15, 2024","7,450.00","7,500.00","7,275.00","7,400.00","7,039.96","250,581,100"
"Mar 14, 2024","7,250.00","7,400.00","7,225.00","7,400.00","7,039.96","161,193,000"
"Mar 13, 2024","7,250.00","7,275.00","7,150.00","7,275.00","6,921.04","126,022,700"
"Mar 8, 2024","7,150.00","7,175.00","7,100.00","7,125.00","6,778.34","109,032,400"
"Mar 7, 2024","7,075.00","7,125.00","7,025.00","7,100.00","6,754.56","94,950,400"
"Mar 6, 2024","7,000.00","7,100.00","7,000.00","7,075.00","6,730.77","74,178,100"
"Mar 5, 2024","7,075.00","7,100.00","7,000.00","7,025.00","6,683.21","92,557,200"
"Mar 4, 2024","7,000.00","7,050.00","6,975.00","7,025.00","6,683.21","44,707,200"
"Mar 1, 2024","7,050.00","7,075.00","6,975.00","7,025.00","6,683.21","90,739,400"
"Feb 29, 2024","7,125.00","7,150.00","7,000.00","7,000.00","6,659.42","150,713,600"
"Feb 28, 2024","7,025.00","7,125.00","7,025.00","7,125.00","6,778.34","49,888,400"
"Feb 27, 2024","6,975.00","7,100.00","6,975.00","7,075.00","6,730.77","58,066,100"
"Feb 26, 2024","6,950.00","7,075.00","6,950.00","7,050.00","6,706.99","65,407,700"
"Feb 23, 2024","7,050.00","7,100.00","7,000.00","7,050.00","6,706.99","109,404,700"
"Feb 22, 2024","7,175.00","7,200.00","7,100.00","7,100.00","6,754.56","85,735,800"
"Feb 21, 2024","7,125.00","7,250.00","7,075.00","7,250.00","6,897.26","128,063,900"
"Feb 20, 2024","7,250.00","7,250.00","7,150.00","7,150.00","6,802.12","87,312,000"
"Feb 19, 2024","7,150.00","7,325.00","7,125.00","7,150.00","6,802.12","83,753,500"
"Feb 16, 2024","7,375.00","7,400.00","7,200.00","7,200.00","6,849.69","142,022,100"
"Feb 15, 2024","7,300.00","7,375.00","7,150.00","7,200.00","6,849.69","220,530,000"
"Feb 13, 2024","7,100.00","7,125.00","7,025.00","7,025.00","6,683.21","102,668,900"
"Feb 12, 2024","7,150.00","7,200.00","7,050.00","7,100.00","6,754.56","162,771,300"
"Feb 7, 2024","6,875.00","6,950.00","6,850.00","6,950.00","6,611.85","88,745,500"
"Feb 6, 2024","6,825.00","6,925.00","6,775.00","6,850.00","6,516.72","90,146,000"
"Feb 5, 2024","6,700.00","6,950.00","6,675.00","6,825.00","6,492.94","150,535,100"
"Feb 2, 2024","6,625.00","6,675.00","6,600.00","6,675.00","6,350.23","120,116,200"
"Feb 1, 2024","6,575.00","6,625.00","6,500.00","6,550.00","6,231.32","168,145,800"
"Jan 31, 2024","6,650.00","6,700.00","6,650.00","6,650.00","6,326.45","128,185,000"
"Jan 30, 2024","6,475.00","6,700.00","6,450.00","6,650.00","6,326.45","123,330,900"
"Jan 29, 2024","6,350.00","6,475.00","6,275.00","6,475.00","6,159.97","124,753,000"
